S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Mar Cap 3yrs back Cr.
272.,GPT Healthcare,148.60,25.59,1219.33,1.68,7.68,-22.89,107.11,9.50,27.23,
273.,Borosil Scienti.,134.67,49.88,1197.85,0.00,-4.21,-55.30,95.98,-7.89,10.31,
274.,Indef Manufactur,371.15,34.56,1187.68,0.54,5.86,2.27,38.13,-0.03,17.66,
275.,Krishna Defence,785.25,53.47,1171.52,0.13,11.32,58.10,100.82,41.60,24.31,
276.,Kross Ltd,180.81,22.84,1166.39,0.00,10.70,39.69,139.36,-4.80,21.72,
277.,Monolithisch Ind,535.75,66.24,1164.51,0.00,8.82,57.22,57.28,39.71,61.16,
278.,Bluspring Enter.,78.15,,1164.04,0.00,-7.15,,797.23,,4.32,
279.,C2C Advanced,691.05,39.87,1149.99,0.00,19.11,,71.89,,26.17,
280.,Gem Aromatics,219.52,21.76,1146.71,0.00,7.98,-7.10,87.63,-5.44,19.43,
281.,Le Merite Export,466.80,195.52,1137.12,0.00,3.70,1638.89,217.86,-4.71,8.64,
282.,Vishnu Prakash R,91.04,22.32,1134.76,0.00,7.01,-52.51,276.41,7.74,11.41,
283.,PNGS Gargi FJ,1064.50,38.65,1114.56,0.00,10.27,101.77,46.45,102.40,57.93,
284.,Mamata Machinery,451.90,25.75,1112.03,0.11,2.65,1104.55,38.66,39.97,34.92,
285.,Ganesh Consumer,274.40,35.17,1108.93,0.00,9.53,-29.04,202.96,7.13,18.97,
286.,Popular Vehicles,155.24,,1105.28,0.00,-8.76,-260.73,1310.90,1.51,4.85,
287.,Indo Farm Equip.,228.72,41.44,1099.04,0.00,5.43,121.63,96.26,28.42,7.74,
288.,Anondita Medi.,600.20,68.71,1085.56,0.00,,,,,,
289.,Fabtech Tech.,237.72,18.90,1056.68,0.00,28.11,449.02,121.48,106.81,22.25,
290.,Denta Water,393.80,18.04,1051.45,0.63,18.55,41.06,67.28,35.95,25.17,
291.,Vasa Denticity,605.00,63.38,1048.88,0.00,2.87,-16.08,60.02,12.10,23.17,
292.,Elin Electronics,209.79,31.77,1041.80,0.00,9.39,58.61,295.48,0.65,6.97,
293.,Cosmic CRF,1133.05,42.49,1041.01,0.00,12.32,,232.25,,,
294.,Sahana Systems,1177.15,29.33,1040.26,0.08,25.05,159.09,114.81,155.82,42.14,
295.,Vilas Transcore,420.60,30.40,1029.63,0.00,19.84,69.83,190.62,26.66,21.91,
296.,Ganesh Green,412.80,33.88,1023.79,0.00,17.17,30.72,180.18,61.68,25.22,
297.,Abans Financial,201.26,9.30,1019.37,0.00,32.69,34.73,1893.81,539.56,9.71,
298.,Manoj Vaibhav,202.57,9.97,989.50,0.00,20.59,-5.42,548.94,1.83,15.79,
299.,Concord Enviro,475.95,15.32,985.04,0.00,4.12,299.22,102.39,-0.33,15.04,
300.,Basilic Fly Stud,388.15,24.31,980.66,0.00,33.28,62.84,228.07,346.67,31.23,
301.,Viviana Power,1546.65,44.61,978.72,0.00,3.27,626.67,31.68,409.32,42.88,
302.,Prostarm Info,164.16,31.67,966.49,0.00,1.56,,50.98,,29.95,
303.,Gala Precis. Eng,757.30,35.38,965.58,0.00,6.53,3.94,63.08,18.64,17.07,
304.,Scoda Tubes,160.85,28.32,963.63,0.00,7.08,47.81,97.42,6.06,20.35,
305.,Forbes Precision,185.65,33.41,957.85,2.69,8.30,12.93,63.27,9.96,24.96,
306.,Remus Pharma.,812.50,33.07,957.45,0.12,20.57,15.89,347.75,88.07,19.64,
307.,Ganesh Infra.,224.10,21.45,957.39,0.00,14.61,45.52,180.66,33.47,37.90,
308.,Australian Prem,475.65,17.63,955.58,0.00,28.13,114.41,300.77,83.88,70.83,
309.,RNFI Services,382.25,52.67,953.82,0.00,11.33,103.95,458.67,12.31,29.45,
310.,Emkay Tools,880.00,21.11,939.07,0.28,,,,,,
311.,Unified Data,464.00,31.60,932.18,0.00,12.10,,114.41,,47.86,
312.,FlySBS Aviation,532.40,32.42,921.25,0.00,,,,,34.65,
313.,Regaal Resources,89.13,19.25,915.57,0.00,9.07,-1.20,246.57,26.52,16.15,
314.,Kody Technolab,712.65,51.56,908.45,0.00,,,,,,
315.,Safe Enterprises,194.55,23.14,906.69,0.00,,,,,96.45,
316.,Owais Metal,493.10,18.00,896.57,0.00,22.30,190.55,108.28,117.21,59.47,
317.,Veefin Solutions,366.60,67.96,894.26,0.00,12.13,53.58,59.51,273.81,6.81,
318.,Airfloa Rail,368.65,34.65,883.65,0.00,,,,,31.89,
319.,Dharmaj Crop,257.60,16.58,870.62,0.00,32.59,116.26,367.38,43.91,12.00,
320.,BEML Land Assets,207.59,,864.50,0.00,-0.53,31.17,0.00,,-100.00,
321.,Bright Outdoor,395.10,45.19,862.23,0.13,9.93,-16.13,69.53,6.25,15.71,
322.,Sar Televenture,180.00,18.15,847.94,0.00,15.67,112.04,123.75,138.99,9.28,
323.,Allcargo Termi,33.59,26.66,846.67,0.00,11.30,-3.44,207.16,6.29,11.59,
324.,Advance Agrolife,130.05,32.61,836.04,0.00,,,,,28.00,
325.,Nisus Finance,349.45,20.82,834.42,0.00,16.86,94.46,28.40,109.13,39.74,
326.,Krystal Integrat,588.45,13.72,822.18,0.25,15.01,-1.90,284.72,17.05,16.82,
327.,Shree Refrigerat,229.85,59.52,818.96,0.00,,,,,17.83,
328.,Z-Tech (India),569.40,40.51,815.96,0.00,9.08,236.30,34.99,58.04,28.25,
329.,Karnika Industri,164.40,48.74,815.39,0.01,7.68,37.39,75.41,19.83,22.82,
330.,Chandan Healthca,332.90,36.72,814.01,0.00,12.23,36.29,119.66,30.31,28.85,
331.,M.V.K. Agro,525.45,86.31,813.92,0.00,5.65,28.41,93.43,14.91,9.90,
332.,OBSC Perfection,323.95,47.35,792.14,0.00,9.49,51.11,75.15,27.09,23.41,
333.,Zelio E-Mobility,371.30,49.05,785.30,0.00,,,,,51.78,
334.,Ratnaveer Precis,147.83,14.97,784.23,0.00,15.43,25.65,285.87,24.30,14.30,
335.,GHCL Textiles,81.06,14.59,774.82,0.62,16.01,-22.28,338.04,10.97,4.53,
336.,Trident Techlabs,442.30,66.52,764.34,0.23,8.04,-35.47,55.50,-13.61,26.67,
337.,Laxmi India Fin.,145.62,19.45,761.12,0.00,9.78,47.51,69.68,37.06,13.71,
338.,Tolins Tyres,192.35,19.45,759.95,0.00,9.30,4.38,89.74,17.61,21.30,
339.,Mukka Proteins,24.95,17.23,748.50,0.00,1.59,-64.07,170.77,-1.00,11.59,
340.,Divine Power,299.75,81.61,748.33,0.00,4.65,10.19,197.65,65.47,14.57,
341.,TransIndia Real,30.41,23.62,747.16,1.64,7.45,116.28,20.96,12.21,2.46,
342.,Anlon Healthcare,139.27,36.07,740.24,0.00,4.54,,37.83,,24.83,
343.,Macfos,784.95,41.57,739.17,0.00,5.11,-18.63,68.45,-23.83,41.78,
344.,Credo Brands,112.31,10.61,734.17,2.67,13.83,95.62,153.21,15.13,19.07,
345.,Patel Retail,219.31,28.12,732.51,0.00,6.92,13.07,182.45,2.86,17.33,
346.,Cellecor Gadgets,32.65,23.32,720.51,0.00,16.28,79.49,600.23,106.41,24.21,
347.,Tejas Cargo,299.50,37.43,715.59,0.00,10.39,,248.59,,15.59,
348.,Manba Finance,142.11,16.85,713.95,0.53,9.75,88.22,67.00,36.71,13.07,
349.,Exhicon Events,527.60,26.71,694.56,0.03,19.65,197.79,80.88,96.45,34.59,
350.,Sudarshan Pharma,28.65,34.91,689.49,0.00,3.87,-38.07,168.87,31.33,15.51,
351.,Deepak Builders,147.88,11.97,688.84,0.68,14.99,5.49,106.60,1.42,25.28,
352.,Accent Microcell,287.10,19.87,688.72,0.35,18.07,9.71,139.37,10.58,23.66,
353.,Dreamfolks Servi,127.42,9.76,678.76,0.00,21.27,23.79,348.95,8.77,33.70,
354.,Solarium Green,324.55,36.30,676.67,0.00,11.06,,148.08,,20.09,
355.,Glottis,72.74,11.75,672.14,0.00,11.94,10.97,168.16,12.61,89.96,
356.,Mangalam World.,221.18,18.60,656.92,0.09,10.53,52.39,317.11,33.39,14.45,
357.,R K Swamy,129.78,33.86,655.27,1.16,2.87,31.65,77.57,13.46,9.91,
358.,Indogulf Cropsci,102.88,19.20,650.45,0.00,3.87,656.86,189.37,43.32,14.78,
359.,Modi's Navnirman,331.70,32.92,649.84,0.00,12.00,164.32,83.39,127.72,12.88,
360.,Sahasra Electro.,256.55,233.16,641.19,0.00,-4.29,,49.55,,,
361.,RBZ Jewellers Lt,158.86,17.24,635.44,0.00,7.12,-21.59,75.58,-8.33,20.39,
362.,MOS Utility,24.60,56.76,633.30,0.00,7.75,32.29,308.25,199.13,19.20,
363.,TechD Cybersec.,843.15,75.08,630.65,0.00,,,,,81.46,
364.,Monika Alcobev,292.25,28.34,626.88,0.00,,,,,21.00,
365.,Utssav CZ Gold,259.75,13.87,618.67,0.00,29.42,198.07,475.41,67.09,21.80,
366.,Borana Weaves,229.42,14.24,611.30,0.00,12.20,21.27,81.00,30.18,41.21,
367.,GP Eco Solutions,512.85,59.19,606.74,0.00,5.32,,160.88,,26.46,
368.,BMW Ventures,69.25,18.30,600.50,0.00,,,,,13.64,
369.,Pyramid Technopl,160.72,21.88,591.21,0.31,7.91,4.49,163.81,22.59,14.03,
370.,Baheti Recycling,569.95,32.92,590.95,0.00,10.99,158.59,267.12,19.99,21.82,
371.,Vinsys IT Serv.,398.05,19.46,584.25,0.00,19.10,28.21,119.57,31.02,28.71,
372.,Career Point Edu,315.90,28.06,574.71,0.00,7.04,49.47,14.32,9.23,49.01,
373.,CLN Energy,540.00,45.12,569.88,0.00,8.29,,144.35,,31.30,
374.,OCCL,113.67,15.87,567.79,1.32,8.69,15.71,119.64,16.09,14.90,
375.,Tracxn Technolo.,52.67,,565.95,0.00,1.12,-11.81,21.20,3.21,7.90,
376.,Polysil Irrigati,251.45,,565.89,0.00,-3.24,-472.41,5.15,-84.89,1.24,
377.,Shri Ahimsa,242.00,25.51,564.59,0.00,12.25,,55.09,,24.38,
378.,Vision Infra,226.25,17.94,557.53,0.22,19.53,239.65,249.44,259.11,19.57,
379.,Radiant Cash,52.17,12.95,556.70,4.79,5.76,-32.35,100.09,0.18,26.23,
380.,Highway Infra,77.23,23.64,553.90,0.00,7.20,127.85,113.60,38.07,19.59,
381.,Bizotic Commer.,682.85,50.69,549.01,0.00,8.38,520.74,73.78,39.58,11.36,
382.,All E Tech,271.55,18.49,548.37,0.55,6.32,2.43,34.07,2.84,29.60,
383.,Kronox Lab,147.62,21.40,547.73,0.34,6.28,2.11,24.29,-3.57,43.82,
384.,Effwa Infra,234.45,26.99,542.69,0.00,15.35,22.31,124.26,10.80,33.87,
385.,ABS Marine,219.85,19.95,539.73,0.00,19.16,,99.80,,14.20,
386.,Annapurna Swadi.,244.45,22.93,533.39,0.00,15.41,23.68,249.50,22.45,12.84,
387.,Purple United,553.40,50.79,531.81,0.00,7.18,,72.63,,26.21,
388.,Sunita Tools Ltd,843.05,112.18,529.47,0.00,3.04,-10.85,15.26,-0.46,16.70,
389.,Aprameya Enginee,275.15,32.50,523.89,0.00,17.84,,126.43,,31.12,
390.,Dhampur Bio,78.52,,521.28,1.59,-22.00,-18433.33,525.52,12.53,3.97,
391.,Essen Speciality,208.95,50.93,519.01,0.48,1.78,-33.58,41.16,19.13,11.50,
392.,Global Surfaces,121.43,,514.64,0.00,-0.57,64.75,74.50,30.36,-1.97,
393.,Atmastco Ltd,205.60,25.62,508.55,0.00,5.49,-46.75,150.66,1.91,21.85,
394.,Supreme Power,202.85,25.80,506.95,0.00,4.45,30.88,38.23,50.22,27.50,
395.,Creative Graphic,206.85,24.19,502.36,0.00,11.62,226.40,138.03,65.27,25.73,
396.,Goel Construct.,343.70,12.90,496.63,0.00,,,,,38.70,
397.,Qualitek Labs,424.00,78.52,494.05,0.00,,,,,,
398.,Grand Continent,198.00,46.37,493.40,0.00,4.43,167.27,40.78,160.58,19.48,
399.,S J Logistics (I,322.50,8.80,493.20,0.00,14.26,32.90,125.76,24.87,36.55,
400.,True Colors,198.65,19.84,489.76,0.00,,,,,43.84,
401.,Banganga Paper,40.40,190.53,483.94,0.00,0.65,,21.16,,26.95,
402.,Systematic Inds.,216.50,23.54,483.47,0.00,9.28,36.47,253.68,54.04,20.60,
403.,Sunrise Efficie.,308.40,53.50,483.11,0.00,5.00,5.71,74.24,21.51,21.94,
404.,Sacheerome,214.10,29.99,479.00,0.00,,,,,38.62,
405.,Amanta Healthcar,122.52,32.95,475.74,0.00,3.51,1075.00,65.31,-4.10,14.80,
406.,Vraj Iron,144.21,13.16,475.64,0.00,7.59,-51.16,138.31,20.69,18.36,
407.,Megatherm Indu.,251.70,22.25,474.22,0.00,12.00,-8.61,172.56,8.27,21.13,
408.,Sahaj Solar,214.30,18.25,470.86,0.23,21.39,101.22,212.32,71.29,31.60,
409.,Adcounty Media.,209.00,32.08,470.28,0.00,4.10,28.53,17.05,5.12,62.93,
410.,PropshareTitania,1053000.00,52.38,469.85,0.00,3.72,,10.81,,11.48,
411.,Hi-Green Carbon,187.90,46.77,469.56,0.00,5.82,14.34,60.69,64.78,11.88,
412.,Neetu Yoshi,120.00,23.26,465.75,0.00,11.54,45.52,44.15,25.39,46.01,
413.,Techera Enginee.,279.70,145.31,462.09,0.00,4.33,-13.92,31.93,30.70,12.97,
414.,Jinkushal Indus.,118.60,21.61,455.26,0.00,4.45,167.88,72.82,4.19,23.38,
415.,Valiant Laborato,83.50,3488.54,453.51,0.00,1.82,456.86,46.82,147.99,-0.95,
416.,Interiors & More,640.00,37.40,447.71,0.16,7.81,44.10,40.95,53.72,21.67,
417.,Influx Health.,190.65,33.01,441.36,0.00,,,,,60.16,
418.,Petro Carbon,178.50,107.01,440.90,0.00,2.93,-64.61,260.40,47.58,4.98,
419.,Globe Civil,73.46,18.20,438.70,0.00,5.05,,67.35,,23.28,
420.,RBM Infracon,433.95,14.88,438.42,0.00,12.87,215.44,153.24,167.48,32.80,
421.,Nova Agritech,46.47,16.29,429.94,0.00,3.25,-24.07,46.75,11.55,16.39,
422.,Fabtech Techn.,348.00,32.43,428.71,0.57,8.02,55.58,88.10,52.82,21.16,
423.,E Factor Experie,324.95,21.95,425.30,0.37,19.92,36.16,153.41,20.50,37.96,
424.,Sealmatic India,468.50,26.62,423.99,0.23,9.46,190.18,57.04,67.76,21.99,
425.,Connplex Cinemas,220.70,22.77,421.54,0.00,9.61,,40.69,,163.38,
426.,Namo eWaste,183.00,49.35,418.48,0.00,3.06,-26.79,69.36,42.42,18.43,
427.,Chembond Chemic.,153.35,13.35,412.46,0.49,7.20,4.92,73.04,-2.65,26.47,
428.,Infinium Pharma,264.00,40.93,411.39,0.00,3.01,-26.52,72.73,-1.95,14.58,
429.,Suba Hotels,169.35,27.10,410.55,0.00,,,,,24.15,
430.,Phantom Digital,256.00,20.16,407.62,0.00,11.83,-13.78,63.67,31.93,17.61,
431.,RNIT AI Solution,54.46,55.95,407.32,0.00,0.82,9.33,6.25,36.17,15.77,
432.,Shiv Texchem,175.70,8.46,407.14,0.00,27.49,47.56,1170.99,26.96,14.46,
433.,Virtual Galaxy,163.55,12.66,406.73,0.00,12.98,,48.53,,44.99,
434.,Robust Hotels,234.44,21.19,405.39,0.00,4.03,196.32,33.24,11.73,5.12,
435.,DSM Fresh,181.65,44.73,404.85,0.00,,,,,24.53,
436.,Shree Karni,559.90,26.79,404.74,0.00,10.59,-19.24,90.17,18.54,14.23,
437.,Dev Accele.,44.53,51.23,401.61,0.00,0.14,102.18,55.63,123.32,11.90,
438.,Tierra Agrotech,61.11,,400.84,0.00,5.40,8.22,51.91,3.92,-16.22,
439.,Proventus Agro.,1148.45,70.82,395.84,0.00,2.53,-47.62,288.14,-1.80,6.76,
440.,AVP Infracon,158.10,11.93,394.92,0.00,20.34,84.57,176.56,100.98,26.24,
441.,Vishnusurya Pro.,160.00,13.44,393.75,0.62,7.46,53.81,131.50,0.44,23.96,
442.,Chaman Metallics,161.50,40.06,389.78,0.00,3.61,1.40,80.85,-16.50,4.37,
443.,Kalyani Cast-Tec,536.40,27.63,385.16,0.00,6.23,67.02,69.03,52.52,29.55,
444.,Infollion Resea.,396.00,28.17,384.00,0.00,7.18,20.88,51.09,45.18,31.18,
445.,VVIP Infratech,151.50,10.49,378.29,0.00,22.67,110.42,199.75,23.01,33.34,
446.,Patil Automation,173.35,33.89,378.26,0.00,,,,,24.47,
447.,Hemant Surgical,290.00,47.26,378.11,0.00,4.95,-15.82,57.66,-0.76,16.35,
448.,Aelea Commoditi.,185.00,61.88,376.82,0.00,8.70,55.91,173.69,97.96,7.56,
449.,Indiabulls Enter,18.99,,376.64,0.00,-5.73,-72.11,13.16,-11.56,-43.17,
450.,Freshara Agro,159.65,13.16,375.16,0.00,17.41,,146.98,,24.76,
451.,SKP Bearing,225.40,125.98,374.16,0.49,0.38,,22.12,,11.96,
452.,B-Right Real,362.00,168.48,373.99,0.00,4.34,-9.98,62.80,184.03,5.08,
453.,Wise Travel,156.25,16.21,372.06,0.00,13.04,9.76,304.95,38.17,16.19,
454.,Monarch Surve.,260.50,10.59,368.76,0.00,,,,,46.40,
455.,Pelatro,347.50,27.59,368.26,0.29,3.56,55.46,26.69,45.61,22.43,
456.,Neptune Pet.,162.10,14.63,367.21,0.00,,,,,62.28,
457.,Logica Infoway,206.00,34.88,366.63,0.00,7.27,32.18,596.69,7.12,14.30,
458.,Mason Infratech,205.70,21.16,361.47,0.00,12.38,25.94,75.06,8.78,33.71,
459.,Systango Tech,245.85,17.08,360.63,0.00,14.03,59.79,38.36,29.38,28.74,
460.,HP Telecom,301.45,28.55,359.17,0.00,7.34,34.68,1002.66,57.85,16.40,
461.,Shree TirupatiBa,43.90,14.91,358.10,0.00,6.36,-20.92,125.41,-12.62,13.21,
462.,Maxvolt Energy,328.25,35.37,357.92,0.00,5.34,33.83,67.19,144.24,31.92,
463.,Prizor Viztech,334.60,35.24,357.73,0.00,5.87,27.33,40.06,34.97,45.27,
464.,Parth Electrical,258.80,29.28,353.73,0.00,6.10,48.06,80.40,15.02,33.26,
465.,Spunweb Nonwoven,146.15,32.65,352.27,0.00,,,,,22.25,
466.,ITCONS E-Soluti.,582.80,107.05,350.06,0.03,1.96,71.93,38.45,144.59,17.22,
467.,Trident Lifeline,300.00,21.72,347.77,0.00,2.78,33.62,23.61,79.54,18.12,
468.,VMS TMT,70.03,23.56,347.57,0.00,,,,,13.98,
469.,Pushpa Jewellers,143.35,15.59,347.24,0.00,7.48,,66.46,,50.45,
470.,Goyal Salt,193.80,45.41,346.91,0.00,3.92,-44.32,61.71,-13.02,16.92,
471.,ANB Metal,290.50,33.54,343.80,0.00,,,,,29.60,
472.,Subam Papers,147.50,12.83,342.86,0.00,9.22,,269.29,,13.09,
473.,Savy Infra,163.50,14.25,340.22,0.00,4.20,,47.33,,61.88,
474.,National Perox.,591.25,,339.79,0.00,0.39,-42.65,68.29,-11.33,0.20,
475.,Pune e,216.35,21.68,338.61,0.00,10.43,-20.85,26.39,-34.55,15.22,
476.,Saraswati Saree,84.24,10.82,333.59,2.69,6.35,4.10,144.77,11.05,28.58,
477.,PropsharePlatina,985001.00,38.50,331.06,4.55,4.16,,7.71,,,
478.,Akme Fintrade,7.74,9.65,330.30,0.00,9.61,11.61,31.92,49.65,14.40,
479.,Jeyyam Global,69.50,14.95,330.10,0.00,12.54,89.71,386.97,2.86,17.75,
480.,B.R.Goyal Infra.,134.90,12.89,321.40,0.00,18.99,6.99,296.85,-15.82,17.91,
481.,Frog Cellsat,206.45,13.63,321.12,0.00,2.78,-57.73,48.48,9.04,21.56,
482.,Beezaasan Exp.,247.95,28.23,320.38,0.00,4.62,79.77,117.78,16.36,21.11,
483.,Pratham EPC,175.25,23.73,319.17,0.00,5.23,9.64,56.93,63.73,25.63,
484.,Shera Energy,130.50,16.52,318.93,0.00,7.04,37.28,386.74,30.84,17.22,
485.,RDB Real Estate,183.60,,317.32,0.00,0.34,-87.22,19.85,3.39,4.21,
486.,Yash Optics,127.80,34.11,316.50,0.00,5.04,6.55,23.71,5.71,17.24,
487.,Jay Bee Laminati,139.95,21.54,315.83,0.00,3.69,-74.39,218.73,42.80,32.13,
488.,Ducol Organics,194.00,68.25,315.33,0.00,0.73,-77.26,38.77,2.48,8.47,
489.,Earkart,227.00,45.38,312.21,0.00,,,,,45.13,
490.,Munish Forge,129.15,21.72,310.87,0.00,,,,,22.37,
491.,JD Cables,137.60,14.01,310.30,0.00,,,,,65.58,
492.,Cryogenic OGS,217.00,39.28,309.88,0.00,5.52,64.75,21.07,57.12,32.02,
493.,Emmforce Auto.,150.65,38.36,308.83,0.00,4.68,14.43,52.49,31.00,16.02,
494.,Nikita Greentech Recycling,125.00,13.39,308.35,0.00,12.90,32.31,198.46,10.85,16.56,
495.,Saakshi Medtech,173.65,65.10,306.60,0.00,1.26,-79.00,47.97,-20.80,6.09,
496.,Kaka Industries,222.85,23.63,304.41,0.00,6.35,-2.31,102.33,23.83,19.48,
497.,Tankup Engi.,573.95,199.94,303.91,0.00,1.00,-34.21,13.55,18.34,21.26,
498.,Envirotech Sys.,161.50,27.31,303.46,0.00,11.22,22.62,31.31,13.69,31.63,
499.,Arihant Academy,499.90,68.02,302.70,0.20,1.96,,17.25,,,
500.,GSM Foils,213.05,24.83,300.25,0.00,3.83,173.57,52.00,147.62,45.64,
501.,Om Freight Forwa,88.90,19.00,299.37,0.00,2.99,-66.33,94.43,-21.52,,
502.,Baroda Rayon,130.50,9.19,298.99,0.00,7.10,98.88,22.36,113.16,5.04,
503.,Sat Kartar,188.05,21.49,296.08,0.37,7.79,103.93,88.35,16.57,39.66,
504.,Bhavik Enterpris,142.50,51.07,290.10,0.00,,,,,8.33,
505.,Pramara Promotio,320.75,49.12,289.80,0.00,3.69,14.95,55.66,30.75,15.23,
506.,Thaai,125.00,23.89,289.12,0.00,6.12,-30.90,68.75,43.23,16.31,
507.,Krishca Strapp.,203.10,24.57,288.20,0.00,6.30,-16.67,85.62,51.46,20.37,
508.,Akiko,266.65,38.86,287.17,0.00,5.65,,57.35,,,
509.,Ecoline Exim,139.45,15.58,286.09,0.00,,,,,,
510.,Shreeji Global,,23.42,284.50,,,,,,37.40,
511.,L. T. Elevator,147.70,31.66,283.04,0.00,,,,,32.96,
512.,Transteel Seatin,130.05,22.28,282.29,0.00,8.03,14.88,54.29,26.26,16.79,
513.,Asarfi Hospital,143.45,26.43,282.27,0.00,3.20,,35.66,,15.83,
514.,Positron Energy,370.40,15.83,281.52,0.00,13.04,90.64,267.03,214.97,41.81,
515.,Balaji Phos.,118.10,35.46,280.81,0.00,3.58,306.82,64.08,15.75,16.20,
516.,Esconet,212.70,40.74,280.68,0.00,4.69,108.44,120.50,82.02,17.85,
517.,CapitalNumbers,114.90,12.51,280.67,0.00,12.11,5.40,49.54,6.33,26.47,
518.,Ramdevbaba Sol.,122.25,18.63,279.48,0.00,6.91,-7.59,526.97,34.53,7.90,
519.,Current Infra.,145.00,29.35,277.65,0.00,3.96,,45.18,,,
520.,Vibhor Steel,145.52,23.19,275.94,0.00,3.14,3.97,230.96,2.76,8.14,
521.,Anya Polytech &,22.85,33.48,274.20,0.00,0.08,,60.54,,14.22,
522.,Nilachal Carbo,110.00,19.56,274.20,0.00,,,,,24.09,
523.,Jasch Gauging,604.60,17.01,274.00,1.65,5.14,40.05,17.12,30.99,24.34,
524.,Revathi Equip,891.75,21.48,273.49,0.00,0.57,-92.82,22.26,-57.22,25.71,
525.,Taurian MPS,306.00,28.98,271.83,0.00,,,,,39.32,
526.,Aveer Foods,674.35,79.20,271.65,0.04,0.53,-49.04,34.01,22.07,17.39,
527.,Finbud Financial,,31.90,270.50,,,,,,34.14,
528.,Mahamaya Lifesc.,,51.31,266.82,,,,,,21.11,
529.,B.A.G. Converge.,125.10,28.21,265.45,0.00,,,,,89.63,
530.,Rikhav Securitie,68.40,11.11,261.92,0.00,-27.00,,225.06,,16.68,
531.,Meta Infotech,138.70,16.48,261.89,0.00,,,,,51.14,
532.,Chemkart India,216.05,10.77,261.40,0.00,14.73,,113.13,,61.51,
533.,Karbonsteel Eng.,184.05,18.38,260.28,0.00,,,,,29.25,
534.,Integrated Perso,300.00,36.52,258.20,0.03,4.09,38.64,174.40,29.37,15.09,
535.,Sayaji (Indore),845.45,23.98,257.58,0.00,1.79,9.82,23.76,-1.25,18.91,
536.,Cash UR Drive,145.60,15.44,256.92,0.00,,,,,54.81,
537.,Voler Car,230.00,56.45,256.30,0.00,1.27,18.69,12.35,21.92,25.38,
538.,ARCL Organics,319.85,18.87,255.88,0.00,3.99,44.04,67.34,12.36,20.33,
539.,Active Infra.,170.00,26.93,255.26,0.59,7.54,22.34,56.09,18.66,15.51,
540.,Eppeltone Ene.,195.70,23.35,253.61,0.00,,,,,32.04,
541.,Kamdhenu Venture,8.06,42.65,253.37,0.00,0.87,-45.28,50.24,-7.75,6.57,
542.,Quest Flow,246.05,39.93,249.99,0.00,2.83,-56.06,37.59,-13.03,12.82,
543.,Eleganz Interior,110.15,18.48,248.93,0.00,2.30,-75.87,111.01,-42.21,26.02,
544.,Star Imaging,142.90,15.63,248.93,0.00,,,,,34.73,
545.,HVAX Technolog.,890.00,22.51,247.14,0.00,7.22,-6.36,84.66,9.68,22.34,
546.,Chavda Infra Ltd,100.00,11.88,246.56,0.00,11.81,-2.56,146.54,5.37,17.84,
547.,Sunlite Recycli.,225.35,17.30,245.18,0.00,7.21,49.90,759.92,35.16,36.07,
548.,Unihealth Hosp,158.75,16.15,244.47,0.00,9.91,63.53,31.76,19.17,17.15,
549.,Anlon Tech,390.10,37.60,244.02,0.00,3.94,71.30,31.17,78.83,19.34,
550.,VL E-Governance,22.37,2205.55,242.61,0.00,-0.52,-164.20,3.25,-59.32,0.11,
551.,Agarwal Toughene,137.00,15.96,242.14,0.00,9.24,,33.02,,24.38,
552.,Committed Cargo,210.45,33.22,241.17,0.24,,,,,15.08,
553.,Shivashrit Foods,130.60,19.57,238.59,0.00,,,,,27.31,
554.,Shivalic Power,98.80,19.18,238.26,0.00,5.96,-23.98,78.85,10.79,19.39,
555.,Emerald Tyre,121.65,22.56,236.93,0.82,4.05,,100.93,,14.35,
556.,EMA Partners,101.25,23.61,235.37,0.00,5.80,-33.41,34.77,-9.69,12.84,
557.,Paradeep Pari.,147.10,9.69,234.15,0.00,18.99,,198.31,,23.73,
558.,Alstone Textiles,0.37,100.94,232.17,0.00,1.75,-31.37,0.00,-100.00,-0.09,
559.,Kay Cee,189.85,10.92,232.07,0.00,9.19,83.80,83.33,120.10,29.31,
560.,Mach Conferences,109.85,17.40,231.09,0.91,5.63,,116.44,,21.92,
561.,C P S Shapers,1045.00,1359.18,231.06,0.00,0.65,912.50,17.91,-2.66,4.81,
562.,Sayaji Hot. Pune,757.95,12.15,230.92,0.00,5.33,27.21,18.83,1.89,30.79,
563.,Shradha AI Tech,37.09,19.87,226.07,1.62,3.36,100.00,6.02,100.00,17.45,
564.,Purple Finance,41.42,,225.43,0.00,-1.63,70.74,11.10,311.11,-13.17,
565.,Pritika Engineer,85.50,33.00,225.42,0.00,2.03,115.96,37.17,62.53,11.68,
566.,Patel Chem,90.50,21.29,225.07,0.00,,,,,35.22,
567.,Gayatri Rubbers,390.00,78.52,223.78,0.00,1.58,66.32,18.27,34.04,31.91,
568.,Sawaliya Food,225.00,32.06,223.16,0.00,1.49,,7.43,,44.37,
569.,Forcas Studio,126.50,25.80,222.39,0.00,5.72,33.96,86.66,4.31,21.69,
