S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Mar Cap 3yrs back Cr.
63.,RRPSemiconductor,11326.85,2374.11,15431.70,0.00,-0.29,-117.26,0.00,-100.00,80.21,
64.,Doms Industries,2533.40,73.99,15374.59,0.12,59.10,10.49,562.28,26.35,26.18,
65.,Concord Biotech,1454.90,42.74,15220.61,0.74,44.06,-26.06,203.99,-5.47,28.25,
66.,SignatureGlobal,1077.80,117.63,15144.24,0.00,34.44,408.42,865.67,116.09,5.42,
67.,Syrma SGS Tech.,784.20,74.77,15093.04,0.19,49.92,157.72,943.98,-18.62,11.67,
68.,Leela Palaces Hotels,440.25,84.53,14702.50,0.00,74.73,246.02,310.65,12.09,11.98,
69.,International Ge,335.15,29.52,14483.83,0.75,126.53,62.55,300.91,15.74,68.01,
70.,Rainbow Child.,1390.50,54.86,14121.80,0.22,53.81,35.34,352.93,6.88,18.69,
71.,Niva Bupa Health,76.40,152.29,14103.43,0.00,-35.27,-370.89,1574.03,19.13,7.45,
72.,Cello World,636.90,42.73,14068.17,0.24,80.65,-11.58,529.01,5.66,23.72,
73.,Paradeep Phosph.,168.11,17.11,13723.59,0.59,255.85,4655.58,3754.06,57.90,13.72,
74.,NMDC Steel,44.97,,13178.93,0.00,-114.78,80.72,3389.90,122.68,-12.97,
75.,Jain Resource,377.25,51.38,13018.36,0.00,98.64,80.53,2054.91,52.96,27.20,
76.,Indegene,539.05,29.04,12944.73,0.37,102.10,11.34,804.20,17.09,24.80,
77.,Belrise Industri,145.27,32.68,12927.28,0.38,111.68,56.06,2262.21,27.02,14.30,
78.,SBFC Finance,117.52,32.73,12847.26,0.00,109.14,29.96,410.78,30.87,11.55,
79.,Blackbuck,653.85,32.68,11833.50,0.00,33.70,395.59,143.65,55.84,10.54,
80.,Vikram Solar,322.00,44.63,11647.29,0.00,128.49,1645.79,1109.91,93.72,26.45,
81.,Le Travenues,260.95,236.66,11395.00,0.00,-3.47,-125.44,282.74,36.94,12.62,
82.,Canara HSBC,118.46,93.24,11253.70,0.00,40.81,10.69,2347.94,-29.35,8.73,
83.,Sanofi Consumer,4884.40,56.85,11249.08,1.13,60.70,22.99,220.90,28.21,111.44,
84.,Inox India,1214.10,48.10,11019.60,0.16,61.12,16.11,339.62,14.58,37.98,
85.,Bluestone Jewel,711.95,,10773.25,0.00,-34.75,41.71,492.68,41.48,,
86.,Rubicon Research,652.65,80.03,10752.43,0.00,,,,,28.57,
87.,Azad Engineering,1656.40,94.41,10697.32,0.00,33.00,56.62,142.67,28.06,12.23,
88.,Prudent Corp.,2562.80,51.70,10611.70,0.10,53.54,3.92,319.79,11.78,44.06,
89.,Blue Jet Health,606.65,29.86,10523.28,0.20,52.14,-10.64,165.48,-20.54,39.75,
90.,Jupiter Life Lin,1553.90,52.90,10188.30,0.06,43.88,-1.42,347.63,20.46,17.95,
91.,Aether Industri.,757.40,58.89,10042.38,0.00,40.14,29.47,214.33,19.06,9.92,
92.,Orkla India,,38.76,10000.21,,,,,,13.55,
93.,Inox Green,270.05,256.71,9911.29,0.00,22.39,2487.35,56.20,10.50,2.60,
94.,Jeena Sikho,782.60,78.82,9727.78,0.14,51.31,217.91,174.29,74.22,50.24,
95.,INDIA SHELTE FIN,886.60,21.60,9611.40,0.56,121.83,35.56,368.91,30.69,12.61,
96.,Happy Forgings,1013.20,35.47,9554.91,0.30,65.69,2.87,353.80,3.61,19.17,
97.,Transrail Light,710.25,25.04,9535.53,0.11,105.82,104.52,1659.84,81.25,35.22,
98.,ASK Automotive,479.05,35.06,9444.12,0.31,79.80,18.61,1053.70,8.20,27.58,
99.,Honasa Consumer,280.90,128.42,9139.64,0.00,39.90,1.60,583.63,7.37,7.44,
100.,P N Gadgil Jewe.,665.70,35.81,9034.10,0.00,69.34,96.32,1714.56,2.78,19.41,
101.,Sri Lotus,177.82,40.81,8690.49,0.00,25.79,-36.09,61.32,-49.19,37.06,
102.,Wework India,632.15,48.03,8472.28,0.00,,,,,137.07,
103.,Campus Activewe.,276.00,71.45,8431.03,0.36,22.20,-12.53,343.27,1.21,20.10,
104.,Oswal Pumps,708.45,26.49,8074.73,0.00,94.68,34.20,513.95,36.83,77.91,
105.,Archean Chemical,649.70,42.07,8019.10,0.46,40.14,-10.41,292.36,37.46,12.81,
106.,Yatharth Hospit.,821.65,55.67,7916.96,0.00,42.04,38.38,257.77,21.72,13.99,
107.,Ethos Ltd,2956.20,85.51,7910.11,0.00,19.02,-16.58,346.32,26.74,13.75,
108.,T N Merc. Bank,495.30,6.46,7843.15,2.22,317.51,4.73,1413.39,5.68,7.49,
109.,Kalpat.,376.85,360.82,7759.87,0.00,-51.84,-7062.32,443.20,-16.45,1.06,
110.,Max Estates,477.00,138.62,7736.37,0.00,7.82,238.14,48.77,21.38,2.54,
111.,Atlanta Electric,1003.05,61.74,7713.12,0.00,31.14,25.26,315.11,5.06,50.20,
112.,Avalon Tech,1150.30,95.97,7674.10,0.00,14.21,715.15,323.31,62.08,12.76,
113.,Aarti Pharma,844.60,28.73,7656.07,0.59,49.50,-10.73,386.19,-30.48,17.44,
114.,Redtape,136.98,42.49,7572.36,0.55,38.60,25.98,464.31,5.07,21.67,
115.,Quality Power El,964.20,106.40,7467.16,0.10,37.06,-22.48,176.72,187.72,26.60,
116.,Akums Drugs,471.10,22.50,7414.83,0.00,64.69,5.50,1024.03,0.48,16.20,
117.,Keystone Realtor,566.75,44.52,7152.37,0.26,16.33,-43.80,273.12,-35.30,9.33,
118.,Raymond Lifestyl,1173.10,90.18,7146.95,0.00,75.19,-13.60,1832.40,7.27,2.87,
119.,Smartworks Cowor,606.65,,6931.24,0.00,-4.20,81.76,379.21,20.99,6.97,
120.,Ajax Engineering,598.10,27.82,6842.67,0.00,52.88,-21.06,466.52,-0.53,33.58,
121.,Saatvik Green,528.20,21.44,6713.69,0.00,118.82,458.89,915.73,272.28,52.33,
122.,Canara Robeco,317.20,33.40,6325.52,0.00,48.71,-2.68,107.65,3.03,47.72,
123.,Seshaasai Tech.,372.40,27.45,6025.65,0.00,36.84,-9.01,310.87,-13.77,36.69,
124.,Oriana Power Ltd,2952.65,37.84,5999.53,0.00,109.97,126.35,627.62,96.86,42.31,
125.,Juniper Hotels,269.25,77.54,5990.88,0.00,9.00,51.16,220.74,10.54,6.31,
126.,TVS Supply,129.57,50.87,5716.37,0.00,71.16,1940.88,2592.31,2.08,4.83,
127.,Electronics Mart,146.51,51.49,5636.95,0.00,21.62,-65.25,1739.39,-9.72,10.35,
128.,Crizac,313.55,30.39,5486.58,0.00,48.34,138.72,162.25,24.92,47.87,
129.,Senco Gold,334.15,25.38,5470.65,0.30,103.52,94.08,1824.57,28.95,10.39,
130.,Indus Inf. Trust,120.99,10.91,5359.11,2.69,120.55,8.53,186.40,46.60,9.32,
131.,Fedbank Financi.,143.09,21.79,5351.80,0.00,80.15,24.17,535.38,4.37,9.82,
132.,eMudhra,638.80,55.67,5290.01,0.20,26.44,15.28,172.88,22.42,15.32,
133.,Kothari Indl,492.75,,5267.04,0.00,-1.92,-811.11,39.20,191.45,-13.67,
134.,Jana Small Finan,486.95,12.47,5125.50,0.00,74.99,-22.47,1304.78,11.90,8.15,
135.,Unimech Aero.,996.60,61.86,5068.40,0.00,19.12,-7.32,62.99,6.38,22.22,
136.,KRN Heat Exchan,792.30,83.41,4924.67,0.00,18.02,46.39,152.07,66.93,20.75,
137.,Zaggle Prepaid,362.50,50.36,4866.71,0.00,25.88,54.78,331.49,31.43,12.99,
138.,Bondada Engineer,435.45,29.23,4859.34,0.02,92.56,147.65,1216.67,153.16,39.50,
139.,NDR INVIT Trust,122.00,35.94,4831.35,5.84,37.93,-2.57,101.56,35.09,4.74,
140.,Bansal Wire Inds,308.00,31.64,4821.92,0.00,38.32,-3.43,1055.40,27.86,16.44,
141.,Innova Captab,826.40,36.44,4729.07,0.00,31.02,5.22,351.54,19.46,14.63,
142.,Pace Digitek,218.85,17.03,4723.91,0.00,54.70,20.41,367.08,7.28,41.31,
